typo,benar
karsinod,karsinoid
gabahr,gabah
brederuk,berderuk
penpgeser,penggeser
wirsata,wisata
oedek,gedek
dai,daif
bereang,berenang
aang,arang
sonen,bonen
terimpxit,terimpit
lool,lolo
deum,dum
pemadwt,pemadat
islamofoba,islamofobia
keamatan,kecamatan
penjalifnan,penjalinan
itnerpretatif,interpretatif
penyelaat,penyelamat
berkecondongrn,berkecondongan
bauaan,bawaan
surpaalami,supraalami
belutong,belotong
pleistose,pleistosen
warklp,warkop
naturar,natural
juwitfa,juwita
prioteus,proteus
gelenggan,gelenggang
kepha,kepah
memengagl,memenggal
drmaga,dermaga
mneagak,menagak
torpedso,torpedo
komanndo,komando
kebu,kebuk
takduk,takluk
kongkog,kongkong
reljai,relai
mempertempuran,mempertempurkan
putarbn,putaran
seig,segi
susaua,suasua
taoung,tadung
meenjak,menjak
hujaqn,hujan
berpani,berpanir
penghafahlan,penghafalan
gaypa,gaya
setirmna,setirman
berderp,berderap
bdiah,bidah
machtsvretoning,machtsvertoning
pneyamaran,penyamaran
mikrogrm,mikrogram
pwcundang,pecundang
mewasiatkna,mewasiatkan
isral,israel
boshia,bohsia
menyelenggarakann,menyelenggarakan
wmemulihkan,memulihkan
gingsiar,gingsir
kontraprodutif,kontraproduktif
menjerihkfn,menjerihkan
agya,gaya
kounikabilitas,komunikabilitas
mengiriu,mengiri
hamdhlah,hamdalah
raoah,ranah
valuavsi,valuasi
berkaar,berkadar
melarau,melaru
jdayung,dayung
kelmpanan,kelimpanan
bezrkuku,berkuku
fotopoldmer,fotopolimer
merumuksan,merumuskan
mqngembalikan,mengembalikan
menggarisabwahi,menggarisbawahi
kepoalisian,kepolisian
prypendapat,prapendapat
engecap,pengecap
topoijyo,topoiyo
wirti,wiri
tlrlukis,terlukis
tudigan,tudingan
uapay,uapan
tunjcuk,tunjuk
menapgk,menapak
mengenoakan,mengenakan
manrak,marak
ruya,ruyat
krikda,krida
panteoyn,panteon
patorl,patrol
snugkai,sungkai
tergelowhok,tergelohok
idal,ideal
liu,liut
daktiltlogi,daktilologi
ckeingkaran,keingkaran
terluam,terluar
memind,meminda
alaskar,laskar
renyombong,penyombong
vaksicnasi,vaksinasi
selapann,selapanan
antong,kantong
mengucup,menguncup
tingfah,tingkah
enzimosi,enzimosis
rudapaska,rudapaksa
ebut,embut
mestaxkung,mestakung
karsp,karsa
aisi,isi
historoigrafi,historiografi
avaeilabilitas,availabilitas
bddu,budu
erintang,perintang
terpermukaan,berpermukaan
niden,inden
relkasasi,relaksasi
ewmas,emas
unitarismje,unitarisme
cloem,floem
emnjejalkan,menjejalkan
siesan,sipesan
icri,ciri
epnjebak,penjebak
yerkawanan,perkawanan
estetzs,estetis
eksra,ekstra
psiosibin,psilosibin
jsaad,jasad
yafii,syafii
festivl,festival
memeprdagangkan,memperdagangkan
beoluwek,beluwek
profesionaisme,profesionalisme
polaroibd,polaroid
dnedikasi,dedikasi
metamoris,metamorfis
pakme,pakem
gpale,gaple
cao,tao
visualisais,visualisasi
szemenda,semenda
komkndan,komandan
ritcik,ritmik
berepradaban,berperadaban
finalt,final
kpastanya,kastanya
mzningkar,meningkar
terlapaui,terlampaui
bunkah,bungkah
gerad,geradi
sttistik,statistik
penyawh,penyawah
refraki,refraksi
emmperlebat,memperlebat
orinal,ordinal
mnegecut,mengecut
ebrdengus,berdengus
informabn,informan
terselak,terserak
tkwaran,tawaran
btalian,balian
egan,regan
ansel,pansel
mencangcadg,mencangcang
retinaldehdia,retinaldehida
mencecerkayn,mencecerkan
naturialistis,naturalistis
medomalakufobai,medomalakufobia
ruteab,rutab
idusemen,indusemen
briring,beriring
kekruhan,kekeruhan
serepme,serempe
terkelki,terkelik
alur,jalur
ubya,ubaya
adpoakt,adpokat
soompok,sompok
langszung,langsung
dbagu,bagu
sloroh,seloroh
uglosem,glosem
kersung,kersang
klasok,klasik
sxmentung,sementung
pkasi,paksi
tmbuh,tambuh
merjndung,merundung
terigou,terigau
persemahan,persembahan
geranggavan,geranggaman
capm,cap
penjjaran,penjajaran
suann,sunan
penerangana,penerangan
seeoka,seloka
eresap,meresap
perangg,peranggu
kencagarkan,mencagarkan
mikofag,mikrofag
buagn,buang
takus,taksu
keratiti,keratitis
cleepuk,celepuk
mla,imla
beranah,berakah
stoga,stoma
koaptdara,kopatdara
tematisas,tematisasi
qerinjam,gerinjam
lentsu,lentus
matrileineal,matrilineal
hukumulla,hukumullah
kpsek,kepsek
setumpakx,setumpak
nasionalimse,nasionalisme
buujl,bujul
dtunan,daunan
pascxperang,pascaperang
peracp,peraup
benckulu,bengkulu
bjaul,bajul
mengervi,mengerti
imbalna,imbalan
znoa,zona
wterbayang,terbayang
jnog,jong
penaar,penakar
membiikkan,membidikkan
pengaorfan,pengamorfan
membmubui,membumbui
lgeribik,geribik
aui,uai
sebrono,sembrono
mngeram,mengeram
distliator,distilator
seperngguan,seperangguan
kolamaan,kelamaan
menghujakan,menghujankan
penatapajn,penatapan
menggletik,menggeletik
inkonsistien,inkonsisten
bahcin,bacin
srikaay,srikaya
gartu,garut
memeik,memetik
terpaacul,terpacul
sman,saman
parametrnsasi,parametrisasi
heroglif,hieroglif
kesemerbakaw,kesemerbakan
sermibu,seribu
kelekatgu,kelekatu
ilqanun,ilanun
menggandkan,menggandakan
enggerus,menggerus
asydid,tasydid
biyakungq,biyakung
cekompresi,dekompresi
pevrekaciptaan,perekaciptaan
retxroviral,retroviral
setika,setik
jbmuan,jemuan
ursuh,rusuh
ruanvg,ruang
mruarikh,muarikh
gemerxtak,gemeretak
penuempurnaan,penyempurnaan
percaraian,perceraian
olveolus,alveolus
emngutip,mengutip
naglikon,aglikon
bnating,banting
sejuh,sepuh
sarasehna,sarasehan
natimuntah,antimuntah
imitas,imitasi
beratun,berwatun
abaks,ambaks
jaxhul,jahul
krifit,kriofit
pemberta,pemberat
menyelubup,menyelusup
kedednaman,kedendaman
hka,hak
keqletah,keletah
mengerebko,mengerebok
jgaru,garu
deitrasi,denitrasi
empoki,empok
anorgynik,anorganik
penyelaravsan,penyelarasan
ditkik,ditekik
epnjajahan,penjajahan
ekrajaan,kerajaan
mwukadas,mukadas
mengingaukdan,mengingaukan
demfak,dempak
ekstremtias,ekstremitas
mpai,mpasi
strlategem,strategem
mengatlis,mengatalis
pezbantahan,perbantahan
terahertv,terahertz
eblu,belu
larzngoskop,laringoskop
kuapal,kumpal
bertangwas,bertangas
sahiublhikayat,sahibulhikayat
perints,perintis
jenjanng,jenjang
mcengerik,mengerik
badna,badan
mennudukkan,menundukkan
berpnecar,berpencar
ruxbi,rugbi
majapaiht,majapahit
kono,konco
ears,mars
aruhahaz,aruhaha
mencengangka,mencengangkan
mikroleektronika,mikroelektronika
mengajsosiasikan,mengasosiasikan
foon,foton
rekrtumen,rekrutmen
kwnto,kanto
menghelaka,menghelakan
poipe,poise
terebanl,tereban
balepsia,ablepsia
pmonosit,monosit
diomsis,dioesis
baabk,babak
penyert,penyeret
kanvas,kandas
kgiuk,giuk
mencermatkkan,mencermatkan
merudian,meridian
emmpersaingkan,mempersaingkan
kalitra,kaliptra
emlanisme,melanisme
menelis,mencelis
voutase,voltase
mehngesokkan,mengesokkan
lterjelma,terjelma
ilam,islam
spirilm,spirilum
kpcoh,kocoh
pltaj,plta
uakanan,makanan
berusatu,bersuatu
berdeku,berdekus
pengaiq,pengail
mengglei,menggeli
naglamil,anglamil
psikoaktwf,psikoaktif
mneguncup,menguncup
blflo,blalo
campni,campin
hipitik,hipotik
adsorpssi,adsorpsi
lmpeng,lempeng
selumxu,selumu
tjerminasi,terminasi
beretnetan,berentetan
kad,ekad
pneropongan,peneropongan
pemaparna,pemaparan
mqenyosialisasi,menyosialisasi
wtia,wita
beristr,beristri
sitogeetik,sitogenetik
ealstik,elastik
menampl,menampal
menyembt,menyembat
istrija,istirja
kumgena,kumena
sewabadi,seabadi
sanal,sandal
menyekap,menyerkap
memungkziri,memungkiri
orrpol,orpol
bermirpian,bermiripan
tewrkehel,terkehel
melakukban,melakukan
pfenaung,penaung
bisia,bisai
lyar,layar
endotan,lendotan
sngga,sangga
bamjan,bajan
brekelip,berkelip
panditk,pandita
mtnambat,menambat
gri,guri
peria,perisa
penginga,pengingau
seuktip,sekutip
mencanggirhkan,mencanggihkan
tasrim,takrim
racijan,racikan
mengikkal,mengikal
gereiek,gerepek
rafcau,racau
prosi,prosit
menyeapn,menyepan
hkalis,khalis
taml,tamil
megasadkan,mengasadkan
aumbu,ambu
dopiing,doping
titi,titis
ati,mati
bampep,bamper
isoglso,isoglos
kalsivriol,kalsitriol
koab,koan
gumulann,gumulan
berdompk,berdompak
hlai,helai
dagalah,dalalah
aledograf,albedograf
disevtri,disentri
ebmok,embok
ngah,angah
agrzowisata,agrowisata
pelecehafn,pelecehan
teklaak,tekalak
lintasa,lintasan
griik,girik
pasturay,pastura
bperkaparan,berkaparan
bereubtan,berebutan
mengeeremet,menggeremet
ovotesths,ovotestis
peteduhan,perteduhan
msuami,suami
amsam,masam
yergaris,tergaris
menyebmam,menyembam
aryap,rayap
mengubt,mengubit
fkepercayaan,kepercayaan
mape,mapel
mulala,musala
pengampanyea,pengampanyean
smebung,sembung
pencampu,pencampur
komanadn,komandan
plorikultura,florikultura
pekajankan,pekajangan
mawn,mawon
oiru,kiru
nouer,nomer
lamiansi,laminasi
lwlembut,lelembut
kecntilan,kecentilan
rangranan,rangrangan
memsang,memasang
gudo,gude
lkomplimentaris,komplimentaris
palar,papar
cegkok,cengkok
pnginterupsian,penginterupsian
troma,trama
pehmatangan,pematangan
peeroka,peneroka
degenert,degenerat
peilta,pelita
tepa,stepa
pektinalse,pektinase
meremaqgkan,meremangkan
aelr,aler
memengpkan,memengapkan
mencemeehka,mencemeehkan
omi,moi
ijtimask,ijtimak
evdisiaos,evdisisos
uyul,usul
irak,riak
juranr,jurang
pelnuturan,pelunturan
pansseksual,panseksual
sansak,sasak
polasma,plasma
meyakirnkan,meyakinkan
knantan,kinantan
pengamtan,pengamatan
globuiln,globulin
kipia,kipai
bayunp,bayun
merkurimu,merkurium
kweuh,kewuh
penaran,pendaran
bunicah,buncah
abara,ambara
teybiar,terbiar
menaksirt,menaksir
brebahagia,berbahagia
peolayar,pelayar
pengglantang,pengelantang
nyap,nyai
menyamini,menyamuni
painl,panil
megnawabekukan,mengawabekukan
tersednk,tersedak
naibw,naib
memperkuawan,memperkawan
dondone,dondon
fpokq,fpok
pelmpengan,pelempengan
bokserq,bokser
melimqpahkan,melimpahkan
kilouolt,kilovolt
mensejajarakan,mensejajarkan
berakahk,berakah
komniusi,kominusi
perueorangan,perseorangan
perangzi,perangai
arndah,randah
inernat,internat
sporogram,spirogram
khaus,khas
beregndang,bergendang
menisik,menilik
tabmat,tambat
zunasan,lunasan
hantm,hantam
berbatera,berbaterai
ggrih,gurih
logot,logat
mengjaar,mengajar
kursial,krusial
bereprabot,berperabot
tergusnur,tergusur
luu,luku
lpafon,plafon
bergojke,bergojek
mengbuti,mengebuti
ksaihan,kasihan
keteriban,ketertiban
cuhat,curhat
ejrangau,jerangau
pretcnsi,pretensi
lilgsu,lingsu
opstel,postel
cng,cang
watawati,wartawati
kumpfng,kumpang
membesa,membesar
salarti,salatri
pennerangan,penerangan
hamyba,hamba
iangkok,rangkok
kirana,kiranya
karah,parah
mencelungd,mencelung
terinstab,terinstal
jasanan,jajanan
jawbaan,jawaban
menabri,menabiri
lakonjsme,lakonisme
brakisefalixk,brakisefalik
umba,umbra
peandu,pemandu
subung,subang
emcek,encek
ing,wing
oratoripa,oratoria
porfelen,porselen
mengaodn,mengadon
peca,pecah
ysimbar,simbar
pcspa,puspa
adi,asi
klicap,kelicap
menggerapia,menggerapai
beawiyakta,beawiyata
pelunjang,peluntang
teolak,terlak
babon,balon
dibusul,dibusur
orgnometaloid,organometaloid
hea,hena
johpri,johari
terlcuu,terlucu
ertindan,bertindan
krn,ken
kabaa,kabaea
bibence,bebence
fenotizpe,fenotipe
pengakttif,pengaktif
becergmin,becermin
erserama,berserama
tertqabuh,tertabuh
futurisem,futurisme
menglamini,mengelamini
ksalbu,kalbu
ambal,mabal
kas,aks
engungkah,mengungkah
menyqarut,menyarut
eksonen,eksponen
belelan,belelang
piokilotermal,poikilotermal
menggbbak,menggabak
mmebebek,membebek
menjiutkan,menjitukan
mdus,modus
eklung,kelung
kesusastraad,kesusastraan
tesringkat,tersingkat
vcentung,centung
usryakanta,suryakanta
mungmngan,mungmungan
memebngang,membengang
menypuh,menyepuh
ntiretroviral,antiretroviral
ksah,kisah
ekeonzim,ekoenzim
merood,merorod
likueaaksi,likuefaksi
kmengintai,mengintai
kelopakk,kelopak
eglagat,gelagat
akromanig,akromania
khotxah,khotbah
uuk,ufuk
perhuamsan,perhumasan
menerim,menerima
tergekak,tergerak
penggagasa,penggagasan
fins,finis
planimtri,planimetri
ertaburkan,bertaburkan
tergiall,tergial
mengisyaratrkan,mengisyaratkan
adneskitis,adneksitis
kasra,kasar
khumbang,kumbang
menghamapr,menghampar
uran,juran
macnung,mancung
wil,awil
vndukan,andukan
kemblai,kembali
bextrokan,bentrokan
sermoa,seroma
mentloeransi,mentoleransi
hetweroploid,heteroploid
alxferes,alferes
silahifikasi,silabifikasi
jingvat,jingkat
lar,liar
lf,lsf
suram,guram
lopwer,loper
seartistki,seartistik
semkionduktor,semikonduktor
teretus,tercetus
suersensitif,supersensitif
meduosid,medusoid
bereau,berbau
menazakan,menazamkan
seraa,serana
suparsegmental,suprasegmental
reamoh,remoh
kebreagaman,keberagaman
stevnia,stevia
seaslii,seasli
skuuisme,sukuisme
hrap,harap
beroetipung,berketipung
psikotbopika,psikotropika
onga,tonga
menyelamis,menyelami
lhala,lala
trpal,terpal
vesibula,vestibula
uasal,asal
seagresiwf,seagresif
teorma,teorema
agu,agun
tertaa,tertata
cendawa,sendawa
prostesi,prostesis
betnuk,bentuk
spenyempurna,penyempurna
sontskan,sontekan
bangkng,bangkang
korosifz,korosif
memermisikin,memermisikan
asketiw,asketik
efeknor,efektor
kaedaluwarsa,kedaluwarsa
membabitian,membabitkan
hristorikus,historikus
blak,balak
mencmeuk,mencemuk
samn,saman
mluok,mulok
jaewr,jawer
mqelayarkan,melayarkan
penyelidikrn,penyelidikan
degih,dengih
pnoor,ponor
mewaatsi,mewatasi
pegnetok,pengetok
melzntung,melantung
ockol,cokol
sealrap,selarap
vestibuqa,vestibula
kebexjatan,kebejatan
kedalaamn,kedalaman
denitkasi,denitrasi
adn,adan
jumk,jumik
haiuan,haluan
bioakuumlasi,bioakumulasi
jejam,jenjam
mendekoloniasi,mendekolonisasi
cakalans,cakalang
pt,pkt
omnel,monel
menidjurkan,menidurkan
merpatus,meratus
aajib,ajaib
emngumpan,mengumpan
berpottngan,berpotongan
semngka,semangka
etnolinguiskik,etnolinguistik
ehem,dehem
pols,polis
rognkoh,rongkoh
mfmbangkar,membangkar
fberampus,berampus
ki,kia
pehangkuan,pemangkuan
meggempur,menggempur
fasam,faham
belaan,belahan
kulnnologi,kulinologi
meqrasionalisasi,merasionalisasi
fenkris,fenokris
gebyo,gebyok
reti,peti
baytai,bayati
cazuk,caduk
svsuan,susuan
meskta,meskat
membongkra,membongkar
senjsata,senjata
inersai,inersia
inversi,invensi
kepeb,keper
mengornamenkatn,mengornamenkan
nauou,naulu
pacuran,pancuran
belinconi,belincong
benma,denma
sarad,sarat
jeriv,jerit
liplt,lipat
detut,detup
amebiasid,amebiasis
gilk,gilik
qmakian,makian
menaylai,menyalai
pamn,pamen
husoh,lusoh
pendrian,pendirian
pendk,pendek
tersodren,tersoren
sck,sak
pematriian,pematrian
memvalidas,memvalidasi
beraarkan,berarakan
palbasa,palubasa
nenyetarakan,menyetarakan
bermintd,berminta
griroskop,giroskop
mengenakkvan,mengenakkan
puas,muas
pengeta,pengetam
trsktasi,traktasi
menyemcak,menyemak
mejnajar,menjajar
prolifk,prolifik
yatmuljamak,yaumuljamak
bermadni,bermandi
breendeng,berendeng
menaxikan,menalikan
txiap,tiap
rkistiani,kristiani
cenhteng,centeng
bersovat,bersobat
menuaeng,menuang
pmngapit,pengapit
berjaljr,berjalur
memantpkan,memantapkan
amandxel,amandel
deformialsi,deformilasi
ittel,intel
sispandu,siscandu
pesgi,pesugi
menggji,menggaji
memperetakan,memperatakan
aunit,unit
keitengikan,ketengikan
suslat,susilat
advebria,adverbia
penginterpretsi,penginterpretasi
epnangkalan,penangkalan
semamphang,semampang
jantugn,jantung
svt,sat
hipantiumd,hipantium
etah,petah
sgedondon,sedondon
eksukrsi,ekskursi
oek,oke
eala,gala
thaun,tahun
perampatan,perampasan
knstruktivisme,konstruktivisme
srmud,sarmud
serapgt,serapat
menemii,menemui
bayxa,baya
menugaskgn,menugaskan
invesftigasi,investigasi
kolpoplansti,kolpoplasti
ink,nik
ejat,bejat
penylearah,penyearah
automaotif,automotif
raag,raga
koedrat,kodrat
bpknl,bpkln
penuci,penyuci
bla,bila
balonisais,balonisasi
psikotgerapi,psikoterapi
ksuut,kusut
terowngan,terowongan
fosforolsis,fosforolisis
stzangulasi,strangulasi
merenchh,merencah
muzamiq,muzamil
ubta,buta
elktor,lektor
emnyapukan,menyapukan
nonpartisna,nonpartisan
twempilai,tempilai
biaalon,biatlon
wassntara,wasantara
jankger,janger
tatur,fatur
steroemorf,stereomorf
deutranoxpia,deutranopia
apra,para
tehidrogenasi,terhidrogenasi
bdaai,badai
megabipa,megabita
cterserobok,terserobok
menympahi,menumpahi
menjelanu,menjelang
rupmun,rumpun
nhibitor,inhibitor
merenyum,merenyuk
nartetama,naratetama
praskangka,prasangka
menyumpau,menyumpah
srep,sirep
lkaab,lakab
ulofobia,aulofobia
tuoroid,toroid
nemrologi,nefrologi
tersugnkup,tersungkup
xlehar,lehar
